siteid,amount,st
275,37,белый
275,37,легенда 4
275,37,ск-8
275,37,цвет бронза
275,37,шкаф светлана
275,37,матрас классик эконом
275,37,тумбы прикроватные
275,36,кресло виктория
275,36,арго
275,36,стулья и табуреты
275,36,кухня сакура
275,36,энгри
275,36,костер-1
275,36,диван-книжка кордон
275,36,стул gh-801b eames
275,36,comfort 12
275,36,гардеробная
275,36,валенсия
275,36,прихожая виола-2
275,36,диваны угловые
275,36,багира
275,36,качалка
275,36,989
275,35,кровать односпальная
275,35,кухонный уголок со спальным местом
275,35,6822
275,35,стенка флоренция
275,35,диван квадро
275,35,парма
275,35,шкаф логика
275,35,диван ручеек
275,35,зодиак
275,35,детские
275,35,римини
275,35,тумба в прихожую
275,35,мелиса
275,35,шкаф для белья
275,35,компьютерные кресла
275,35,скамья угловая
275,35,18000
275,35,маджеста-2
275,35,полка для обуви
275,35,стул мягкий с2
275,34,стенка венеция
275,34,стенли
275,34,дачник-1
275,34,антре
275,34,мася-12
275,34,сундук
275,34,бельевой шкаф
275,34,вавилон58
275,34,дачник
275,34,комод виктория
275,34,стол компьютерный №4
275,34,елена
275,34,соня
275,34,диван-кровать 2-х ярусная
275,34,канди
275,34,иртыш
275,34,диван конрад
275,34,стул офисный
275,34,"шайба \"modern"
275,34,9258
275,34,тумба выкатная
275,34,стенку
275,34,1403
275,33,6219
275,33,стенка tv-6
275,33,кровать детская массив
275,33,мини диваны
275,33,двухъярусная диван кровать
275,33,альянс 2
275,33,элегант 2
275,33,"шкаф-купе белый \"фортуна\""
275,33,консул
275,33,диван премьер
275,33,глянец
275,33,палермо 2
275,33,кордон флок
275,33,элис
275,33,6284
275,33,модульные кухни
275,33,туалетный
275,33,диван виктория аккордеон 120 с декором
275,33,кресло компьютерное
275,33,комод к-9
275,33,ната-лина
275,33,кухонные гарнитуры
275,33,16000
275,33,шкаф 3-х створчатый
275,33,ст. макарена-5а
275,33,комплект кровать лдсп и матрас классик эконом 1600х2000 мм
275,33,кордон однотонный
275,33,кухни по элементам
275,33,вега 10
275,33,диван-кровать клик-клак модерн
275,33,матрас кокос
275,33,"вешалка с зеркалом вш-1 \"вега\""
275,33,соло 10
275,33,сицилия
275,33,белый глянец
275,32,5814
275,32,стиль
275,32,стол компьютерный ск-7
275,32,угловой диван олимп-1 (бежевый)
275,32,стол-книжка ааа
275,32,5292
275,32,шкафы в прихожую
275,32,сонома
275,32,2048
275,32,кухня 2400
275,32,"кухня мдф боско 2,0 м"
275,32,стенка каскад
275,32,доставка
275,32,6043
275,32,прихожая дарина
275,32,вега-18
275,32,шкаф п-5
275,32,софа лира
275,32,кухня по элементам
275,32,кровать 1200
275,32,кухня ника
275,32,обеденный
275,32,стеллаж-горка
275,32,тумба tv
275,32,модульная
275,32,диван-книжка честер
275,32,шкаф стеллаж
275,31,галерея
275,31,журнальные столы
275,31,кресло детское
275,31,мягкий угол глория-39
275,31,камила
275,31,изо
275,31,км 03
275,31,карниз
275,31,адель-3
275,31,стол кровать
275,31,надежда
275,31,угловой диван виктория 3-1
275,31,матрас детский
275,31,5779
275,31,шкаф платяной
275,31,"кресло \"соната-комфорт\""
275,31,3966
275,31,30347
275,31,стенка каскад-1
275,31,кровать двуспальная
275,31,гладильная доска
275,31,галерея 1200
275,31,шкаф марта
275,31,кровать двухспальная
275,31,шкаф-купе белый
275,31,шкаф для книг мд2.01
275,31,роза
275,31,акции
275,30,прихожая виола-1
275,30,торцевая полка
275,30,яблоко
275,30,еп-02 пенал открытый
275,30,"шкаф с ящиками мш-02 \"машенька\""
275,30,диван карина
275,30,2589
275,30,"выкатной диван \"париж\""
275,30,комод к-12
275,30,шкаф купе аврора
275,30,кресло астер
275,30,комод лдсп
275,30,дели
275,30,гардероб
